url,carName,className,modelName,color,year,gear,cylinders,driveTrain,insideColor,seatsType,slideRoof,parkSensors,camera,dvd,cd,bluetooth,gps,mileage,price,warranty,advertiseDate,contact,owner
http://www.qatarsale.com/mycar_e.aspx?carid=93959,Mitsubishi,Fuso Canter,,White,2015,Manual,4,RWD,Blue,Cloth,NO,NO,NO,NO,YES,NO,NO,0 Km,"94,000 Q.R.",YES,09-02-2015,+974 74454959,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=94114,Mercedes-Benz,E-Class,500,White,2011,Automatic,8,RWD,Maroon,Leather,YES,YES,YES,NO,YES,YES,YES,"17,000 Km","122,000 Q.R.",NO,02-03-2017,+974 77449448,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=102877,Nissan,Civilian,,White,2015,Manual,6,RWD,Blue,Cloth,NO,NO,NO,NO,YES,NO,NO,0 Km,"166,000 Q.R.",YES,20-04-2015,+974 74454959,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=105531,Volkswagen,Polo,,White,2013,Automatic,4,FWD,Black,Cloth,NO,YES,NO,NO,YES,NO,NO,"29,039 Km","34,900 Q.R.",YES,02-05-2015,+974 33000150,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=110249,Volkswagen,CC,,White,2014,Automatic,4,FWD,Beige,Leather,NO,NO,NO,NO,YES,NO,NO,"20,500 Km","69,900 Q.R.",YES,02-06-2015,+974 33000150,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=110736,GMC,Sierra,Denali,Black,2012,Automatic,8,4WD,Beige,Leather,YES,YES,YES,YES,YES,YES,YES,"44,000 Km","80,000 Q.R.",YES,30-01-2018,+974 55561356 ,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=113641,Toyota,Land Cruiser,G,White,2012,Automatic,6,4WD,Dark Grey,Cloth,NO,NO,NO,NO,YES,NO,NO,"37,000 Km","80,000 Q.R.",NO,13-08-2017,+974 44353444,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=116094,Mercedes-Benz,CL-Class,500,Green,2005,Automatic,8,RWD,Beige,Leather,YES,YES,NO,YES,YES,NO,NO,"217,000 Km","16,000 Q.R.",NO,20-09-2018,+974 74456066,Personal
http://www.qatarsale.com/mycar_e.aspx?carid=116274,Lexus,LX,570,Black,2015,Automatic,8,4WD,Brown,Leather,YES,YES,YES,YES,YES,YES,YES,"12,000 Km","315,000 Q.R.",YES,08-10-2018,+974 44353444,Showroom
http://www.qatarsale.com/mycar_e.aspx?carid=117102,Nissan,Patrol,SE,White,2012,Automatic,8,4WD,Beige,Cloth,YES,YES,YES,NO,YES,NO,NO,"140,000 Km","100,000 Q.R.",NO,08-10-2018,+974 44353444,Showroom
